iter	Passed	Remaining
734	107243	38665
735	107354	38507
736	107486	38356
737	107677	38227
738	107825	38081
739	107972	37936
740	108071	37773
741	108203	37623
742	108338	37473
743	108465	37321
744	108639	37185
745	108786	37040
746	108884	36878
747	109044	36736
748	109193	36592
749	109339	36446
750	109475	36297
751	109596	36143
752	109732	35994
753	109975	35880
754	110086	35723
755	110228	35576
756	110338	35419
757	110509	35281
758	110606	35120
759	110741	34971
760	110877	34822
761	110993	34667
762	111110	34512
763	111253	34366
764	111356	34207
765	111471	34052
766	111621	33908
767	111720	33748
768	111846	33597
769	112033	33464
770	112121	33302
771	112238	33148
772	112425	33014
773	112515	32853
774	112607	32692
775	112735	32542
776	112854	32389
777	112983	32239
778	113113	32090
779	113222	31934
780	113343	31782
781	113452	31627
782	113565	31473
783	113665	31316
784	113765	31158
785	113898	31010
786	114034	30863
787	114127	30704
788	114261	30556
789	114440	30420
790	114611	30282
791	114773	30142
792	114918	29997
793	115067	29853
794	115188	29702
795	115344	29560
796	115448	29405
797	115552	29250
798	115655	29094
799	115799	28949
800	115947	28805
801	116082	28658
802	116246	28518
803	116388	28373
804	116494	28219
805	116605	28066
806	116707	27911
807	116897	27777
808	117053	27635
809	117228	27498
810	117415	27363
811	117537	27213
812	117715	27076
813	117815	26920
814	117966	26777
815	118228	26659
816	118419	26524
817	118559	26378
818	118702	26233
819	118937	26108
820	119119	25971
821	119254	25823
822	119386	25676
823	119512	25527
824	119610	25372
825	119727	25220
826	119844	25070
827	119983	24924
828	120093	24771
829	120219	24623
830	120344	24474
831	120457	24323
832	120580	24173
833	120771	24038
834	120895	23889
835	120999	23736
836	121129	23589
837	121273	23444
838	121431	23302
839	121575	23157
840	121744	23017
841	121836	22862
842	121915	22705
843	122080	22564
844	122227	22420
845	122419	22284
846	122590	22144
847	122738	22000
848	122844	21848
849	122956	21698
850	123092	21552
851	123281	21415
852	123377	21262
853	123544	21121
854	123698	20978
855	123837	20832
856	123999	20690
857	124109	20540
858	124270	20398
859	124369	20246
860	124512	20101
861	124692	19962
862	124784	19809
863	124920	19663
864	125046	19515
865	125158	19366
866	125251	19213
867	125358	19063
868	125479	18915
869	125574	18764
870	125785	18629
871	125912	18482
872	126041	18335
873	126207	18194
874	126276	18039
875	126422	17895
876	126574	17752
877	126718	17607
878	126825	17458
879	126941	17310
880	127089	17166
881	127189	17016
882	127307	16868
883	127421	16720
884	127584	16578
885	127685	16429
886	127846	16287
887	127957	16138
888	128140	15999
889	128275	15854
890	128412	15709
891	128516	15560
892	128632	15412
893	128736	15264
894	128933	15126
895	129089	14983
896	129262	14842
897	129377	14695
898	129487	14547
899	129606	14400
900	129748	14256
901	129862	14109
902	129994	13963
903	130123	13818
904	130227	13670
905	130430	13532
906	130535	13384
907	130700	13242
908	130877	13102
909	131023	12958
910	131183	12815
911	131280	12667
912	131452	12526
913	131583	12380
914	131725	12236
915	131927	12098
916	132025	11950
917	132153	11804
918	132276	11658
919	132415	11514
920	132534	11368
921	132680	11224
922	132794	11078
923	132903	10931
924	133024	10785
925	133105	10636
926	133199	10489
927	133317	10343
928	133459	10199
929	133549	10052
930	133658	9905
931	133757	9759
932	133869	9613
933	134006	9469
934	134200	9329
935	134302	9183
936	134418	9037
937	134556	8893
938	134701	8750
939	134815	8605
940	134932	8460
941	135063	8316
942	135200	8172
943	135345	8028
944	135409	7880
945	135546	7737
946	135664	7592
947	135795	7448
948	135947	7305
949	136118	7164
950	136265	7021
951	136377	6876
952	136581	6735
953	136707	6591
954	136807	6446
955	136934	6302
956	137059	6158
957	137199	6015
958	137352	5872
959	137428	5726
960	137528	5581
961	137657	5437
962	137741	5292
963	137831	5147
964	137968	5004
965	138068	4859
966	138179	4715
967	138262	4570
968	138363	4426
969	138470	4282
970	138574	4138
971	138678	3994
972	138785	3851
973	138851	3706
974	138904	3561
975	138954	3416
976	139003	3272
977	139035	3127
978	139081	2983
979	139128	2839
980	139180	2695
981	139225	2552
982	139271	2408
983	139335	2265
984	139394	2122
985	139444	1979
986	139478	1837
987	139523	1694
988	139562	1552
989	139599	1410
990	139635	1268
991	139663	1126
992	139702	984
993	139748	843
994	139782	702
995	139813	561
996	139847	420
997	139881	280
998	139911	140
999	139943	0
1201	0
