iter	MultiClass
277	0.2024247315
278	0.201371857
279	0.2007105494
280	0.1999605565
281	0.1993820771
282	0.1986606041
283	0.1980293147
284	0.1973566398
285	0.1971124012
286	0.1966716472
287	0.1962611102
288	0.1953456944
289	0.1946858455
290	0.1940238225
291	0.1936870363
292	0.1930856875
293	0.1922052443
294	0.1917515524
295	0.191169992
296	0.1906657172
297	0.1904605966
298	0.1899719003
299	0.1894169503
300	0.1891875928
301	0.1887712939
302	0.1880603124
303	0.1875516997
304	0.186927984
305	0.1865661124
306	0.1860159041
307	0.1856884846
308	0.1854577171
309	0.184883258
310	0.1841998525
311	0.1841180182
312	0.1833316198
313	0.1826604182
314	0.1825975374
315	0.1822502099
316	0.1817440331
317	0.1809024588
318	0.1802270371
319	0.179905535
320	0.179758291
321	0.1795235013
322	0.1792597685
323	0.1787079869
324	0.1783392459
325	0.1778266864
326	0.177018437
327	0.1765854426
328	0.1759392613
329	0.1754280447
330	0.1746538941
331	0.174418685
332	0.1738874752
333	0.1734136724
334	0.1728628548
335	0.1723872241
336	0.1723292721
337	0.1721852356
338	0.1716592166
339	0.1716038168
340	0.1708326102
341	0.1705836892
342	0.1699534031
343	0.1697239504
344	0.1693557461
345	0.168722313
346	0.168335623
347	0.1678826144
348	0.1676320062
349	0.1675410959
350	0.167387586
351	0.1669928219
352	0.1667350558
353	0.1663447854
354	0.1660053876
355	0.1653408161
356	0.1651534587
357	0.1645187772
358	0.1640553256
359	0.1638783601
360	0.1634674509
361	0.1631128995
362	0.1627418302
363	0.1624006983
364	0.1622194566
365	0.1616409431
366	0.1612369524
367	0.160878129
368	0.1604852162
369	0.1601812071
370	0.1600162748
371	0.1595872028
372	0.15945886
373	0.1593184784
374	0.1590638729
375	0.1587871112
376	0.1585028479
377	0.1580343442
378	0.1577862519
379	0.157238828
380	0.1569468657
381	0.1563340237
382	0.1557570003
383	0.1554991753
384	0.1552276732
385	0.1550398322
386	0.1548247884
387	0.1542089058
388	0.1536247625
389	0.1531304457
390	0.1524582942
391	0.1518086504
392	0.1516929335
393	0.1512270497
394	0.1509596746
395	0.1507398111
396	0.1502590466
397	0.1500567545
398	0.1499669655
399	0.1496838126
400	0.1492721415
401	0.1485732469
402	0.1484776243
403	0.148108278
404	0.1480276571
405	0.1477156108
406	0.1475472415
407	0.1472532798
408	0.1469996773
409	0.1466702772
410	0.1463151358
411	0.1462623039
412	0.1460418791
413	0.1459596043
414	0.1455539365
415	0.145153447
416	0.1450172493
417	0.1447409265
418	0.1442215994
419	0.1440057963
420	0.1434436379
421	0.1432562653
422	0.1430316047
423	0.1426803458
424	0.1422823675
425	0.1419536553
426	0.1417043879
427	0.1412645693
428	0.1411169652
429	0.1405669607
430	0.1404719649
431	0.1401401941
432	0.1396369678
433	0.1393321365
434	0.1389565592
435	0.1387865088
436	0.1385053438
437	0.1383192083
438	0.1380896884
439	0.1377655636
440	0.1375631769
441	0.1373077268
442	0.1366861622
443	0.1363541115
444	0.1361591932
445	0.1360183504
446	0.1356595277
447	0.1355173935
448	0.1352958809
449	0.134985998
450	0.1348751163
451	0.134653083
452	0.1345971084
453	0.1343259062
454	0.134073666
455	0.1339429821
456	0.1335652743
457	0.1330312942
458	0.1327184102
459	0.1324517992
460	0.1322105468
461	0.1321208482
462	0.1320781807
463	0.1318152493
464	0.1316460598
465	0.1314466099
466	0.1313228459
467	0.1309847832
468	0.1307658357
469	0.1305770487
470	0.1303069149
471	0.1300455943
472	0.1298923637
473	0.1295588549
474	0.129385883
475	0.1292345003
476	0.1290563734
477	0.1287669726
478	0.1285612228
479	0.1283753609
480	0.1278452139
481	0.1276888892
482	0.1274639941
483	0.1272117295
484	0.1270216069
485	0.1267930419
486	0.126545092
487	0.1261619539
488	0.1259178203
489	0.1257152481
490	0.1255444626
491	0.1253117688
492	0.1251685798
493	0.1249212197
494	0.1245772281
495	0.1244565521
496	0.1243898497
497	0.1243141589
498	0.1239730723
499	0.1235580123
500	0.1234375471
501	0.1230587873
502	0.1227827239
503	0.122448455
504	0.1221461275
505	0.1219455045
506	0.1216551113
507	0.1212811335
508	0.121073067
509	0.1207132751
510	0.1204967951
511	0.1204186134
512	0.1203135468
513	0.1199351835
514	0.1197711926
515	0.1195121863
516	0.1194244894
517	0.1191426004
518	0.1187419134
519	0.1186105315
520	0.118385743
521	0.1182404188
522	0.1180168411
523	0.1179324198
524	0.1178528867
525	0.117752875
526	0.1175464748
527	0.1171628516
528	0.1170494073
529	0.1169417062
530	0.1166624901
531	0.1162623
532	0.1162061323
533	0.1160590945
534	0.1159371969
535	0.1156966606
536	0.1155685821
537	0.1154884082
538	0.1152896432
539	0.1148235381
540	0.114718764
541	0.114464847
542	0.1143711438
543	0.1142388251
544	0.1141466168
545	0.1140303902
546	0.1137135947
547	0.1135832944
548	0.1134493749
549	0.1130902651
550	0.112885577
551	0.1127990044
552	0.11274204
553	0.1125514985
554	0.1124757328
555	0.1123090319
556	0.1121510484
557	0.1119639448
558	0.1117953888
559	0.1116409914
560	0.1115804785
561	0.1113716406
562	0.1111302678
563	0.1110185823
564	0.1109052072
565	0.1107331052
566	0.1105875902
567	0.1103477565
568	0.1100864556
569	0.1100265383
570	0.1097907254
571	0.109550132
572	0.1093181151
573	0.1091930544
574	0.1088482247
575	0.1085575975
576	0.1083987449
577	0.1082879053
578	0.1080645388
579	0.1079322542
580	0.1078968082
581	0.1077604732
582	0.1075899191
583	0.1074233757
584	0.1071962588
585	0.1070561242
586	0.1068247407
587	0.1066490421
588	0.1065311152
589	0.1063772921
590	0.1063526027
591	0.1062620203
592	0.1060522157
593	0.1058357063
594	0.1056693452
595	0.1055239438
596	0.1054545285
597	0.1052372561
598	0.1050938927
599	0.1050313346
600	0.1049487297
601	0.1048870363
602	0.1046492105
603	0.1045519136
604	0.104518881
605	0.1044399442
606	0.104194526
607	0.1040262641
608	0.1039903544
609	0.1038316223
610	0.1036160402
611	0.1035278194
612	0.1033440237
613	0.1030991
614	0.1029448763
615	0.1026694791
616	0.1025683087
617	0.1025022402
618	0.1023254606
619	0.102273563
620	0.1020987955
621	0.1020439574
622	0.1019792214
623	0.1019109014
624	0.10167577
625	0.1016234394
626	0.1014009043
627	0.101311542
628	0.1011728692
629	0.100993149
630	0.1009001575
631	0.1008395577
632	0.1007680348
633	0.1006998813
634	0.100474663
635	0.1003868931
636	0.1002846238
637	0.1002192411
638	0.1001246156
639	0.09999790149
640	0.09967957831
641	0.09963417092
642	0.09947082669
643	0.09934004555
644	0.09927910467
645	0.09908535595
646	0.09898357174
647	0.09890864085
648	0.09887041189
649	0.09866308018
650	0.09853149738
651	0.09837936835
652	0.09826525065
653	0.09800508832
654	0.09791194498
655	0.09778577726
656	0.09762211782
657	0.09757172933
658	0.09740535393
659	0.09733691466
660	0.09726381443
661	0.09714440159
662	0.09707684514
663	0.09670416407
664	0.09663036385
665	0.0964294858
666	0.09633624165
667	0.09622792778
668	0.09602950849
669	0.0958695638
670	0.09577875135
671	0.09567400562
672	0.09560215684
673	0.0953244082
674	0.09526851833
675	0.09521041263
676	0.09507238749
677	0.09492896825
678	0.09485818518
679	0.09471941778
680	0.09466783638
681	0.09461565223
682	0.09451175394
683	0.0943912829
684	0.09427183857
685	0.09425679588
686	0.09395514551
687	0.09383107096
688	0.09367585742
689	0.09351089087
690	0.0934201311
691	0.09325727129
692	0.09317903151
693	0.09301971243
694	0.09293464497
695	0.092798707
696	0.09266449747
697	0.09258561595
698	0.09234426192
699	0.09228938071
700	0.09225629604
701	0.09220360472
702	0.09208444768
703	0.09179058608
704	0.09174832797
705	0.09154798294
706	0.09146536088
707	0.09133605303
708	0.09125472434
709	0.09114658799
710	0.09104378024
711	0.09098935205
712	0.09086733604
713	0.09084300164
714	0.0907004743
715	0.09057576254
716	0.09045677558
717	0.0902684169
718	0.09008614436
719	0.09002357021
720	0.08994327439
721	0.08982220977
722	0.08974850341
723	0.08969067653
724	0.08959850596
725	0.08951346432
726	0.08930870281
727	0.08918102934
728	0.08910654931
729	0.08902394006
730	0.08892735014
731	0.08883592934
732	0.08867112027
733	0.08861409762
734	0.08850330545
735	0.08826470409
736	0.08820433569
737	0.08800304181
738	0.08798317073
739	0.08790572243
740	0.08783318604
741	0.08766763804
742	0.0875887681
743	0.08753739331
744	0.08743562498
745	0.08738824687
746	0.08726891632
747	0.08716223016
748	0.08704041683
749	0.08675550707
750	0.08670465419
751	0.08660574927
752	0.08656548184
753	0.08638472282
754	0.08631308998
755	0.08622783995
756	0.08617972893
757	0.08609233306
758	0.0858978874
759	0.08582665096
760	0.08571428203
761	0.08553797238
762	0.08552118516
763	0.08547627871
764	0.08535325017
765	0.08524278959
766	0.08513709959
767	0.08506435948
768	0.08499729176
769	0.08485165687
770	0.08479169954
771	0.08459227079
772	0.08452639648
773	0.08450681094
774	0.08439556468
775	0.0843675249
776	0.0843282017
777	0.08428159823
778	0.08415240071
779	0.08394349753
780	0.08385097722
781	0.08378973897
782	0.08370714449
783	0.08363989188
784	0.08359593249
785	0.08354121461
786	0.08343577024
787	0.08339301052
788	0.08322090489
789	0.08315671517
790	0.08306008773
791	0.08292080282
792	0.08289308048
793	0.08280012983
794	0.0826979915
795	0.08266573241
796	0.08250748378
797	0.08242287791
798	0.08235724047
799	0.0822321833
800	0.08214617633
801	0.08193466075
802	0.08187863516
803	0.08178249059
804	0.08174086114
805	0.08158907385
806	0.08131973931
807	0.08123113515
808	0.08116838577
809	0.08106915215
810	0.08090073946
811	0.08082558466
812	0.08076588206
813	0.08073674511
814	0.08065690903
815	0.0805061851
816	0.08045840464
817	0.0804139501
818	0.08035728768
819	0.0802621313
820	0.08019395617
821	0.08015496314
822	0.08003624184
823	0.07995139844
824	0.07981617323
825	0.07977593435
826	0.07972734487
827	0.07964227538
828	0.07955180663
829	0.07942357959
830	0.07935006619
831	0.0792007269
832	0.07909738045
833	0.07902490557
834	0.07896799629
835	0.07886167853
836	0.07878962476
837	0.07874167209
838	0.07858462807
839	0.0785118965
840	0.07828015734
841	0.07822443116
842	0.07811977004
843	0.07803890073
844	0.07794199902
845	0.07791813534
846	0.07785889868
847	0.07782488554
848	0.0777897182
849	0.07776653576
850	0.07764854615
851	0.07750105571
852	0.07742722632
853	0.0773124676
854	0.07706392899
855	0.07695346896
856	0.07686013814
857	0.07684065832
858	0.07680532577
859	0.07675719004
860	0.07663755424
861	0.07658640545
862	0.0765256397
863	0.07638011972
864	0.07629820046
865	0.07614179757
866	0.07587446314
867	0.07584643362
868	0.07578261781
869	0.07573387534
870	0.0756914513
871	0.07563322541
872	0.07556135385
873	0.07547288631
874	0.07534710807
875	0.07527263448
876	0.07518004114
877	0.07512099362
878	0.0750107158
879	0.07488442832
880	0.0747558058
881	0.07463641012
882	0.07457926121
883	0.07448459263
884	0.07438533299
885	0.07436024555
886	0.07431240534
887	0.07426501592
